lon,lat,time
-2.907168,47.544968,2024-06-26T19:20:47+02:00
-2.906965,47.545152,2024-06-26T19:21:11+02:00
-2.906854,47.545366,2024-06-26T19:21:36+02:00
-2.906891,47.545601,2024-06-26T19:22:00+02:00
-2.906918,47.545838,2024-06-26T19:22:30+02:00
-2.907229,47.545927,2024-06-26T19:22:47+02:00
-2.907589,47.546023,2024-06-26T19:23:11+02:00
-2.907917,47.546169,2024-06-26T19:23:36+02:00
-2.908269,47.546308,2024-06-26T19:23:59+02:00
-2.908667,47.546367,2024-06-26T19:24:23+02:00
-2.909083,47.546408,2024-06-26T19:24:48+02:00
-2.909428,47.546546,2024-06-26T19:25:12+02:00
-2.909574,47.546801,2024-06-26T19:25:35+02:00
-2.909643,47.547056,2024-06-26T19:26:00+02:00
-2.909615,47.547331,2024-06-26T19:26:24+02:00
-2.909617,47.547586,2024-06-26T19:26:48+02:00
-2.909559,47.547853,2024-06-26T19:27:12+02:00
-2.909497,47.5481,2024-06-26T19:27:35+02:00
-2.90935,47.548314,2024-06-26T19:27:59+02:00
-2.909192,47.548544,2024-06-26T19:28:23+02:00
-2.908985,47.548756,2024-06-26T19:28:48+02:00
-2.90874,47.548998,2024-06-26T19:29:12+02:00
-2.908527,47.549224,2024-06-26T19:29:36+02:00
-2.908366,47.549438,2024-06-26T19:29:58+02:00
-2.908025,47.549559,2024-06-26T19:30:22+02:00
-2.907891,47.549777,2024-06-26T19:30:46+02:00
-2.907833,47.550014,2024-06-26T19:31:11+02:00
-2.907685,47.550279,2024-06-26T19:31:47+02:00
-2.907526,47.55053,2024-06-26T19:32:17+02:00
-2.907458,47.550803,2024-06-26T19:32:35+02:00
-2.907399,47.551033,2024-06-26T19:32:59+02:00
-2.907298,47.551254,2024-06-26T19:33:17+02:00
-2.907217,47.551522,2024-06-26T19:33:41+02:00
-2.907136,47.551749,2024-06-26T19:33:59+02:00
-2.907133,47.552051,2024-06-26T19:34:23+02:00
-2.907196,47.552276,2024-06-26T19:34:42+02:00
-2.907267,47.552561,2024-06-26T19:35:06+02:00
-2.907327,47.552829,2024-06-26T19:35:29+02:00
-2.907319,47.553059,2024-06-26T19:35:53+02:00
-2.907303,47.553312,2024-06-26T19:36:11+02:00
-2.907188,47.553584,2024-06-26T19:36:35+02:00
-2.907088,47.553854,2024-06-26T19:37:00+02:00
-2.907092,47.554084,2024-06-26T19:37:18+02:00
-2.90708,47.554372,2024-06-26T19:37:42+02:00
-2.907091,47.554599,2024-06-26T19:38:00+02:00
-2.907026,47.554884,2024-06-26T19:38:24+02:00
-2.907003,47.555185,2024-06-26T19:38:48+02:00
-2.90697,47.555462,2024-06-26T19:39:12+02:00
-2.907296,47.555546,2024-06-26T19:40:42+02:00
